Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.562075459388,0.945642722645,0.0,0.909447547354,0.0,0.0157811402828,0.0157811402828,0.0157811402828,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610953196
 01/01  02:00:00,0.463030416767,1.1931662927,0.0,1.15866786506,0.0,0.0201057226148,0.0201057226148,0.0201057226148,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.068312568637
 01/01  03:00:00,0.438581631234,1.3879077807,0.0,1.36104269636,0.0,0.0236174211308,0.0236174211308,0.0236174211308,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442634148
 01/01  04:00:00,0.438325688377,1.42792967202,0.0,1.40133880952,0.0,0.0243166572951,0.0243166572951,0.0243166572951,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418978261
 01/01  05:00:00,0.4690079744,1.56840903415,0.0,1.53513889186,0.0,0.0266384161203,0.0266384161203,0.0266384161203,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009253231
 01/01  06:00:00,0.673829229462,1.53855268934,0.0,1.49575628139,0.0,0.025955031463,0.025955031463,0.025955031463,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272116992891
 01/01  07:00:00,1.08981759853,1.80995534894,0.0,1.7343555904,0.0,0.0300953133054,0.0300953133054,0.0300953133054,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801273748
 01/01  08:00:00,1.27293869658,1.46139073465,0.0,1.34731760454,0.0,0.0233792572037,0.0233792572037,0.0233792572037,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373515
 01/01  09:00:00,1.15999441623,1.37208937244,0.0,1.25454570906,0.0,0.0217694378126,0.0217694378126,0.0217694378126,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,0.969871506799,1.3005853602,0.0,1.18177408015,0.0,0.0205066719853,0.0205066719853,0.0205066719853,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191957877
 01/01  11:00:00,0.875071312777,1.19141008087,0.0,1.0840096823,0.0,0.018810220462,0.018810220462,0.018810220462,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.459438500407
 01/01  12:00:00,0.80178055228,1.09912033165,0.0,0.976925487532,0.0,0.0169520476574,0.0169520476574,0.0169520476574,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.388811314
 01/01  13:00:00,0.740440183887,0.86961081944,0.0,0.732941455247,0.0,0.0127183276903,0.0127183276903,0.0127183276903,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.335009556741
 01/01  14:00:00,0.712738841256,0.766876508457,0.0,0.651766563942,0.0,0.0113097446985,0.0113097446985,0.0113097446985,0.0467112376283,0.00839214785663,0.0582516037592,0.276149138597,0.301394968716
 01/01  15:00:00,0.691795684114,0.300019332093,0.0,0.188275592999,0.0,0.00326704223195,0.00326704223195,0.00326704223195,0.0491697382757,0.00883384244632,0.0552107169154,0.291698638422,0.273085705823
 01/01  16:00:00,0.729400108635,0.188191824189,0.0,0.0487059731404,0.0,0.000845167813116,0.000845167813116,0.000845167813116,0.0614621804744,0.0110423044287,0.0576101118494,0.30791335749,0.279996986579
 01/01  17:00:00,0.889262527813,0.320398997014,0.0,0.103080894793,0.0,0.00178870575433,0.00178870575433,0.00178870575433,0.103256447327,0.018551068589,0.0671024077954,0.364207536,0.323826362347
 01/01  18:00:00,1.18463017128,0.825254263612,0.0,0.481259195208,0.0,0.00835102463478,0.00835102463478,0.00835102463478,0.191761982327,0.034451986089,0.08424901191,0.442453949556,0.412832216764
 01/01  19:00:00,1.43626099366,0.297040705747,0.0,0.0199496648017,0.0,0.000346175499343,0.000346175499343,0.000346175499343,0.285184488103,0.0512362872853,0.0852833183682,0.480371446455,0.493309277949
 01/01  20:00:00,1.44643408813,0.159801954626,0.0,0.0,0.0,0.0,0.0,0.0,0.302393901077,0.054328132964,0.076857507091,0.495837793874,0.506486753125
 01/01  21:00:00,1.36074782157,0.109202087527,0.0,0.0,0.0,0.0,0.0,0.0,0.260599634224,0.0468193688037,0.0671599615243,0.512884036997,0.462754820022
 01/01  22:00:00,1.23581870642,0.172111220516,0.0,0.085925356212,0.0,0.00149101518189,0.00149101518189,0.00149101518189,0.218805336853,0.0393105991603,0.0600180686125,0.500910090608,0.404753596008
 01/01  23:00:00,1.01406191785,0.269968107717,0.0,0.20765962819,0.0,0.00360340267351,0.00360340267351,0.00360340267351,0.164718627801,0.0295933730176,0.0513238084703,0.433473489764,0.320819216122
 01/01  24:00:00,0.795912496659,0.47620528436,0.0,0.428152957732,0.0,0.00742950146838,0.00742950146838,0.00742950146838,0.113090388878,0.0203178359816,0.0442136254855,0.376680396822,0.223650748023
 01/02  01:00:00,0.549707574503,0.680913974399,0.0,0.644718799108,0.0,0.0111874487334,0.0111874487334,0.0111874487334,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.108165198626
 01/02  02:00:00,0.451799149833,0.766896287238,0.0,0.732397859606,0.0,0.0127088949758,0.0127088949758,0.0127088949758,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.0646781576598
 01/02  03:00:00,0.426201042157,0.846946419949,0.0,0.820081335613,0.0,0.0142304178381,0.0142304178381,0.0142304178381,0.0245848691378,0.00441692122316,0.0344190020612,0.283549702685,0.0544701292116
 01/02  04:00:00,0.427707932414,1.0033562098,0.0,0.976765347303,0.0,0.0169492688326,0.0169492688326,0.0169492688326,0.0245848691378,0.00441692122316,0.0331770229889,0.279558387222,0.0584914630101
 01/02  05:00:00,0.451993692695,0.972648492354,0.0,0.939378350065,0.0,0.0163005129479,0.0163005129479,0.0163005129479,0.0245848691378,0.00441692122316,0.0336696072551,0.268998031726,0.0934937504053
 01/02  06:00:00,0.643164844024,0.939145260363,0.0,0.896348852411,0.0,0.0155538458743,0.0155538458743,0.0155538458743,0.0245848691378,0.00441692122316,0.0357451070141,0.300180183781,0.252153916994
 01/02  07:00:00,1.03430451184,1.30892937259,0.0,1.23332961406,0.0,0.0214012866504,0.0214012866504,0.0214012866504,0.0565452096987,0.0101589207324,0.0422578350732,0.346828683255,0.546582576428
 01/02  08:00:00,1.21019969781,1.00222351599,0.0,0.888150385883,0.0,0.0154115824191,0.0154115824191,0.0154115824191,0.115548889526,0.0207595305713,0.0510568111019,0.368531461085,0.613361423106
 01/02  09:00:00,1.09339214004,0.699163848411,0.0,0.581620185031,0.0,0.0100925333825,0.0100925333825,0.0100925333825,0.11063191875,0.019876146875,0.0586542613656,0.311572063332,0.572035216338
 01/02  10:00:00,0.907644735147,0.517888052233,0.0,0.399076772182,0.0,0.00692495850229,0.00692495850229,0.00692495850229,0.0565452096987,0.0101589207324,0.0616202140166,0.265173021074,0.496692411123
 01/02  11:00:00,0.815482319674,0.107400398569,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0577626539713,0.271409451485,0.420676828733
 01/02  12:00:00,0.75108067873,0.122194844123,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0571243967723,0.27149260389,0.356830292582
 01/02  13:00:00,0.698324881285,0.136669364193,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0585931939908,0.266919221589,0.30717908022
 01/02  14:00:00,0.675736446421,0.115109944515,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0567480421383,0.276149138597,0.2772058802
 01/02  15:00:00,0.664654180147,0.111743739095,0.0,0.0,0.0,0.0,0.0,0.0,0.0491697382757,0.00883384244632,0.0539269802759,0.291698638422,0.250494980728
 01/02  16:00:00,0.704459162094,0.139485851048,0.0,0.0,0.0,0.0,0.0,0.0,0.0614621804744,0.0110423044287,0.0564069519463,0.30791335749,0.257104367755
 01/02  17:00:00,0.857321564622,0.217318102221,0.0,0.0,0.0,0.0,0.0,0.0,0.103256447327,0.018551068589,0.065849142667,0.364207536,0.294927370039
 01/02  18:00:00,1.13935099193,0.343995068403,0.0,0.0,0.0,0.0,0.0,0.0,0.191761982327,0.034451986089,0.0828891267443,0.442453949556,0.377263947209
 01/02  19:00:00,1.38669170118,0.277091040945,0.0,0.0,0.0,0.0,0.0,0.0,0.285184488103,0.0512362872853,0.0834922952089,0.480371446455,0.445877184124
 01/02  20:00:00,1.39082825507,0.159801954626,0.0,0.0,0.0,0.0,0.0,0.0,0.302393901077,0.054328132964,0.0747921860178,0.495837793874,0.452946241136
 01/02  21:00:00,1.30797920526,0.109202087527,0.0,0.0,0.0,0.0,0.0,0.0,0.260599634224,0.0468193688037,0.0653297857535,0.512884036997,0.411816379483
 01/02  22:00:00,1.19048969078,0.0861858643041,0.0,0.0,0.0,0.0,0.0,0.0,0.218805336853,0.0393105991603,0.0584926622668,0.500910090608,0.362441001895
 01/02  23:00:00,0.975420381407,0.0623084795269,0.0,0.0,0.0,0.0,0.0,0.0,0.164718627801,0.0295933730176,0.0502967902808,0.433473489764,0.286808100543
 01/02  24:00:00,0.766262657455,0.0480523266279,0.0,0.0,0.0,0.0,0.0,0.0,0.113090388878,0.0203178359816,0.0435869416981,0.376680396822,0.202057094075
 01/03  01:00:00,0.53825883711,0.0361951752915,0.0,0.0,0.0,0.0,0.0,0.0,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.107903909967
 01/03  02:00:00,0.440015244247,0.0849893262408,0.0,0.0504908986086,0.0,0.000876140637542,0.000876140637542,0.000876140637542,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.064727006412
 01/03  03:00:00,0.41508403642,0.203528242259,0.0,0.176663157922,0.0,0.00306553806879,0.00306553806879,0.00306553806879,0.0245848691378,0.00441692122316,0.0344190020612,0.283549702685,0.0545180032442
 01/03  04:00:00,0.415413003392,0.290986760247,0.0,0.264395897754,0.0,0.00458791577899,0.00458791577899,0.00458791577899,0.0245848691378,0.00441692122316,0.0331770229889,0.279558387222,0.0585578870411
 01/03  05:00:00,0.443186348567,0.457209095889,0.0,0.423938953599,0.0,0.00735637818539,0.00735637818539,0.00735637818539,0.0245848691378,0.00441692122316,0.0336696072551,0.268998031726,0.0936305410395
 01/03  06:00:00,0.63687015892,0.550313827521,0.0,0.507517419568,0.0,0.00880666907894,0.00880666907894,0.00880666907894,0.0245848691378,0.00441692122316,0.0357451070141,0.300180183781,0.252606408685
 01/03  07:00:00,1.0212296607,0.495541317645,0.0,0.419941559108,0.0,0.0072870136097,0.0072870136097,0.0072870136097,0.0565452096987,0.0101589207324,0.0422578350732,0.346828683255,0.547621998331
 01/03  08:00:00,1.20321516048,0.531982897984,0.0,0.41790976788,0.0,0.00725175706028,0.00725175706028,0.00725175706028,0.115548889526,0.0207595305713,0.0510568111019,0.368531461085,0.614536711138
 01/03  09:00:00,1.08933555659,0.402402285787,0.0,0.284858622407,0.0,0.00494299412216,0.00494299412216,0.00494299412216,0.11063191875,0.019876146875,0.0586542613656,0.311572063332,0.573128172145
 01/03  10:00:00,0.903980272703,0.25230881539,0.0,0.133497535339,0.0,0.00231650889458,0.00231650889458,0.00231650889458,0.0565452096987,0.0101589207324,0.0616202140166,0.265173021074,0.497636398287
 01/03  11:00:00,0.816042168518,0.107400398569,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0577626539713,0.271409451485,0.421236677577
 01/03  12:00:00,0.751587230509,0.122194844123,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0571243967723,0.27149260389,0.357336844362
 01/03  13:00:00,0.698746709159,0.136669364193,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0585931939908,0.266919221589,0.307600908094
 01/03  14:00:00,0.676129239449,0.115109944515,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0567480421383,0.276149138597,0.277598673228
 01/03  15:00:00,0.665358379779,0.111743739095,0.0,0.0,0.0,0.0,0.0,0.0,0.0491697382757,0.00883384244632,0.0539269802759,0.291698638422,0.251199180359
 01/03  16:00:00,0.705209446123,0.139485851048,0.0,0.0,0.0,0.0,0.0,0.0,0.0614621804744,0.0110423044287,0.0564069519463,0.30791335749,0.257854651783
 01/03  17:00:00,0.857975445719,0.217318102221,0.0,0.0,0.0,0.0,0.0,0.0,0.103256447327,0.018551068589,0.065849142667,0.364207536,0.295581251136
 01/03  18:00:00,1.13987271942,0.343995068403,0.0,0.0,0.0,0.0,0.0,0.0,0.191761982327,0.034451986089,0.0828891267443,0.442453949556,0.377785674707
 01/03  19:00:00,1.38732908699,0.277091040945,0.0,0.0,0.0,0.0,0.0,0.0,0.285184488103,0.0512362872853,0.0834922952089,0.480371446455,0.44651456994
 01/03  20:00:00,1.39149796783,0.159801954626,0.0,0.0,0.0,0.0,0.0,0.0,0.302393901077,0.054328132964,0.0747921860178,0.495837793874,0.453615953899
 01/03  21:00:00,1.30844306561,0.109202087527,0.0,0.0,0.0,0.0,0.0,0.0,0.260599634224,0.0468193688037,0.0653297857535,0.512884036997,0.41228023983
 01/03  22:00:00,1.19083969252,0.0861858643041,0.0,0.0,0.0,0.0,0.0,0.0,0.218805336853,0.0393105991603,0.0584926622668,0.500910090608,0.362791003629
 01/03  23:00:00,0.975408763636,0.0623084795269,0.0,0.0,0.0,0.0,0.0,0.0,0.164718627801,0.0295933730176,0.0502967902808,0.433473489764,0.286796482772
 01/03  24:00:00,0.765901553763,0.0480523266279,0.0,0.0,0.0,0.0,0.0,0.0,0.113090388878,0.0203178359816,0.0435869416981,0.376680396822,0.201695990383
 01/04  01:00:00,0.537552210074,0.0361951752915,0.0,0.0,0.0,0.0,0.0,0.0,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.107197282931
 01/04  02:00:00,0.438120025987,0.0344984276322,0.0,0.0,0.0,0.0,0.0,0.0,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.0637079287897
 01/04  03:00:00,0.411094359177,0.0268650843367,0.0,0.0,0.0,0.0,0.0,0.0,0.0245848691378,0.00441692122316,0.0344190020612,0.283549702685,0.0535938640701
 01/04  04:00:00,0.409988348625,0.0265908624928,0.0,0.0,0.0,0.0,0.0,0.0,0.0245848691378,0.00441692122316,0.0331770229889,0.279558387222,0.0577211480527
 01/04  05:00:00,0.43515805252,0.0332701422896,0.0,0.0,0.0,0.0,0.0,0.0,0.0245848691378,0.00441692122316,0.0336696072551,0.268998031726,0.0929586231778
 01/04  06:00:00,0.627770094007,0.0427964079525,0.0,0.0,0.0,0.0,0.0,0.0,0.0245848691378,0.00441692122316,0.0357451070141,0.300180183781,0.252313012851
 01/04  07:00:00,1.01420697162,0.0755997585371,0.0,0.0,0.0,0.0,0.0,0.0,0.0565452096987,0.0101589207324,0.0422578350732,0.346828683255,0.547886322862
 01/04  08:00:00,1.19626920337,0.114073130104,0.0,0.0,0.0,0.0,0.0,0.0,0.115548889526,0.0207595305713,0.0510568111019,0.368531461085,0.614842511085
 01/04  09:00:00,1.08459256478,0.11754366338,0.0,0.0,0.0,0.0,0.0,0.0,0.11063191875,0.019876146875,0.0586542613656,0.311572063332,0.573328174461
 01/04  10:00:00,0.901741367152,0.118811280051,0.0,0.0,0.0,0.0,0.0,0.0,0.0565452096987,0.0101589207324,0.0616202140166,0.265173021074,0.497714001631
 01/04  11:00:00,0.816285660162,0.107400398569,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0577626539713,0.271409451485,0.421480169221
 01/04  12:00:00,0.752136418244,0.122194844123,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0571243967723,0.27149260389,0.357886032097
 01/04  13:00:00,0.699543631299,0.136669364193,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0585931939908,0.266919221589,0.308397830234
 01/04  14:00:00,0.677175163877,0.115109944515,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0567480421383,0.276149138597,0.278644597657
 01/04  15:00:00,0.666384894669,0.111743739095,0.0,0.0,0.0,0.0,0.0,0.0,0.0491697382757,0.00883384244632,0.0539269802759,0.291698638422,0.25222569525
 01/04  16:00:00,0.706252163737,0.139485851048,0.0,0.0,0.0,0.0,0.0,0.0,0.0614621804744,0.0110423044287,0.0564069519463,0.30791335749,0.258897369397
 01/04  17:00:00,0.859237484517,0.217318102221,0.0,0.0,0.0,0.0,0.0,0.0,0.103256447327,0.018551068589,0.065849142667,0.364207536,0.296843289935
 01/04  18:00:00,1.14320868978,0.436576646855,0.0,0.0925815784513,0.0,0.00160651692492,0.00160651692492,0.00160651692492,0.191761982327,0.034451986089,0.0828891267443,0.442453949556,0.379515128144
 01/04  19:00:00,1.3892529241,0.277091040945,0.0,0.0,0.0,0.0,0.0,0.0,0.285184488103,0.0512362872853,0.0834922952089,0.480371446455,0.448438407046
 01/04  20:00:00,1.39348295487,0.159801954626,0.0,0.0,0.0,0.0,0.0,0.0,0.302393901077,0.054328132964,0.0747921860178,0.495837793874,0.455600940935
 01/04  21:00:00,1.31043091588,0.109202087527,0.0,0.0,0.0,0.0,0.0,0.0,0.260599634224,0.0468193688037,0.0653297857535,0.512884036997,0.414268090105
 01/04  22:00:00,1.19502264878,0.209004262078,0.0,0.122818397774,0.0,0.00213119972693,0.00213119972693,0.00213119972693,0.218805336853,0.0393105991603,0.0584926622668,0.500910090608,0.364842760163
 01/04  23:00:00,0.983345547628,0.407178956489,0.0,0.344870476962,0.0,0.00598434664229,0.00598434664229,0.00598434664229,0.164718627801,0.0295933730176,0.0502967902808,0.433473489764,0.288748920122
 01/04  24:00:00,0.775635811973,0.509106418714,0.0,0.461054092086,0.0,0.00800041665555,0.00800041665555,0.00800041665555,0.113090388878,0.0203178359816,0.0435869416981,0.376680396822,0.203429831937
 01/05  01:00:00,0.552615050643,0.820540306765,0.0,0.784345131474,0.0,0.013610307253,0.013610307253,0.013610307253,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.108649816247
 01/05  02:00:00,0.456561653362,1.02810088194,0.0,0.993602454304,0.0,0.0172414338379,0.0172414338379,0.0172414338379,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.0649081223269
 01/05  03:00:00,0.433321098344,1.24752235374,0.0,1.2206572694,0.0,0.0211813904626,0.0211813904626,0.0211813904626,0.0245848691378,0.00441692122316,0.0344190020612,0.283549702685,0.0546392127743
 01/05  04:00:00,0.434021548872,1.35608271269,0.0,1.3294918502,0.0,0.0230699367478,0.0230699367478,0.0230699367478,0.0245848691378,0.00441692122316,0.0331770229889,0.279558387222,0.0586844115519
 01/05  05:00:00,0.461026510499,1.47030243988,0.0,1.43703229759,0.0,0.0249360266518,0.0249360266518,0.0249360266518,0.0245848691378,0.00441692122316,0.0336696072551,0.268998031726,0.0938910545056
 01/05  06:00:00,0.654084344206,1.49269654462,0.0,1.44990013667,0.0,0.0251593151463,0.0251593151463,0.0251593151463,0.0245848691378,0.00441692122316,0.0357451070141,0.300180183781,0.253467947904
 01/05  07:00:00,1.03958308972,1.43918208546,0.0,1.36358232692,0.0,0.0236614899352,0.0236614899352,0.0236614899352,0.0565452096987,0.0101589207324,0.0422578350732,0.346828683255,0.549600951023
 01/05  08:00:00,1.2303240451,1.96528261838,0.0,1.85120948828,0.0,0.0321230143646,0.0321230143646,0.0321230143646,0.115548889526,0.0207595305713,0.0510568111019,0.368531461085,0.616774338452
 01/05  09:00:00,1.11199989543,1.58860177141,0.0,1.47105810803,0.0,0.025526457721,0.025526457721,0.025526457721,0.11063191875,0.019876146875,0.0586542613656,0.311572063332,0.575209047383
 01/05  10:00:00,0.923070661684,1.24889086356,0.0,1.13007958351,0.0,0.0196096459768,0.0196096459768,0.0196096459768,0.0565452096987,0.0101589207324,0.0616202140166,0.265173021074,0.499433650186
 01/05  11:00:00,0.835845774378,1.14510366763,0.0,1.03770326907,0.0,0.0180066908848,0.0180066908848,0.0180066908848,0.0467112376283,0.00839214785663,0.0577626539713,0.271409451485,0.423033592552
 01/05  12:00:00,0.769315337619,1.03483207083,0.0,0.912637226703,0.0,0.0158364890244,0.0158364890244,0.0158364890244,0.0467112376283,0.00839214785663,0.0571243967723,0.27149260389,0.359228462447
 01/05  13:00:00,0.71447946588,0.92769131532,0.0,0.791021951127,0.0,0.0137261664115,0.0137261664115,0.0137261664115,0.0467112376283,0.00839214785663,0.0585931939908,0.266919221589,0.309607498404
 01/05  14:00:00,0.686879594885,0.610517501027,0.0,0.495407556511,0.0,0.00859653332315,0.00859653332315,0.00859653332315,0.0467112376283,0.00839214785663,0.0567480421383,0.276149138597,0.279752495342
 01/05  15:00:00,0.672494905085,0.408041621045,0.0,0.29629788195,0.0,0.00514149326607,0.00514149326607,0.00514149326607,0.0491697382757,0.00883384244632,0.0539269802759,0.291698638422,0.253194212399
 01/05  16:00:00,0.714040943102,0.534787595332,0.0,0.395301744284,0.0,0.0068594525311,0.0068594525311,0.0068594525311,0.0614621804744,0.0110423044287,0.0564069519463,0.30791335749,0.259826696231
 01/05  17:00:00,0.870376778917,0.805843286214,0.0,0.588525183994,0.0,0.0102123520104,0.0102123520104,0.0102123520104,0.103256447327,0.018551068589,0.065849142667,0.364207536,0.297770232323
 01/05  18:00:00,1.17263442538,2.08757519951,0.0,1.74358013111,0.0,0.0302553816583,0.0302553816583,0.0302553816583,0.191761982327,0.034451986089,0.0828891267443,0.442453949556,0.380291999001
 01/05  19:00:00,1.40500057745,1.12478237502,0.0,0.847691334079,0.0,0.0147095188706,0.0147095188706,0.0147095188706,0.285184488103,0.0512362872853,0.0834922952089,0.480371446455,0.449476541524
 01/05  20:00:00,1.4082633559,0.949260367828,0.0,0.789458413203,0.0,0.0136990352027,0.0136990352027,0.0136990352027,0.302393901077,0.054328132964,0.0747921860178,0.495837793874,0.456682306761
 01/05  21:00:00,1.328209948,1.07896423462,0.0,0.969762147095,0.0,0.0168277461727,0.0168277461727,0.0168277461727,0.260599634224,0.0468193688037,0.0653297857535,0.512884036997,0.415219376052
 01/05  22:00:00,1.21333473343,1.22481004228,0.0,1.13862417797,0.0,0.0197579155987,0.0197579155987,0.0197579155987,0.218805336853,0.0393105991603,0.0584926622668,0.500910090608,0.365528128945
 01/05  23:00:00,1.0011290372,1.40388380072,0.0,1.34157532119,0.0,0.0232796145366,0.0232796145366,0.0232796145366,0.164718627801,0.0295933730176,0.0502967902808,0.433473489764,0.289237141796
 01/05  24:00:00,0.794897384632,1.6001499685,0.0,1.55209764187,0.0,0.0269326919297,0.0269326919297,0.0269326919297,0.113090388878,0.0203178359816,0.0435869416981,0.376680396822,0.203759129323
 01/06  01:00:00,0.572040901163,1.93132920928,0.0,1.89513403399,0.0,0.032885212712,0.032885212712,0.032885212712,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.108800761308
 01/06  02:00:00,0.47636445154,2.16518697182,0.0,2.13068854418,0.0,0.0369726598446,0.0369726598446,0.0369726598446,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.0649796944978
 01/06  03:00:00,0.4517301645,2.30538192714,0.0,2.27851684281,0.0,0.0395378425482,0.0395378425482,0.0395378425482,0.0245848691378,0.00441692122316,0.0344190020612,0.283549702685,0.0546918268443
 01/06  04:00:00,0.453253468462,2.46093368782,0.0,2.43434282533,0.0,0.0422418046371,0.0422418046371,0.0422418046371,0.0245848691378,0.00441692122316,0.0331770229889,0.279558387222,0.0587444632533
 01/06  05:00:00,0.48085743774,2.60600879025,0.0,2.57273864796,0.0,0.044643310802,0.044643310802,0.044643310802,0.0245848691378,0.00441692122316,0.0336696072551,0.268998031726,0.0940146975958
 01/06  06:00:00,0.675131258726,2.68204341674,0.0,2.63924700879,0.0,0.0457973936022,0.0457973936022,0.0457973936022,0.0245848691378,0.00441692122316,0.0357451070141,0.300180183781,0.253876783967
 01/06  07:00:00,1.07358767869,3.3447074065,0.0,3.26910764796,0.0,0.0567270169041,0.0567270169041,0.0567270169041,0.0565452096987,0.0101589207324,0.0422578350732,0.346828683255,0.550540013025
 01/06  08:00:00,1.25748079489,3.46910818714,0.0,3.35503505703,0.0,0.0582180677082,0.0582180677082,0.0582180677082,0.115548889526,0.0207595305713,0.0510568111019,0.368531461085,0.617836034896
 01/06  09:00:00,1.12866696452,2.4922072187,0.0,2.37466355532,0.0,0.0412062232727,0.0412062232727,0.0412062232727,0.11063191875,0.019876146875,0.0586542613656,0.311572063332,0.57619635093
 01/06  10:00:00,0.934853590467,1.87878405817,0.0,1.75997277812,0.0,0.0305398341954,0.0305398341954,0.0305398341954,0.0565452096987,0.0101589207324,0.0616202140166,0.265173021074,0.50028639075
 01/06  11:00:00,0.839073473444,1.28980090066,0.0,1.18240050209,0.0,0.0205175419388,0.0205175419388,0.0205175419388,0.0467112376283,0.00839214785663,0.0577626539713,0.271409451485,0.423750440564
 01/06  12:00:00,0.767127011317,0.874006533463,0.0,0.751811689339,0.0,0.0130457724255,0.0130457724255,0.0130457724255,0.0467112376283,0.00839214785663,0.0571243967723,0.27149260389,0.359830852744
 01/06  13:00:00,0.708096409858,0.530258399363,0.0,0.39358903517,0.0,0.00682973283713,0.00682973283713,0.00682973283713,0.0467112376283,0.00839214785663,0.0585931939908,0.266919221589,0.310120875956
 01/06  14:00:00,0.68200612468,0.303261212087,0.0,0.188151267571,0.0,0.00326488488157,0.00326488488157,0.00326488488157,0.0467112376283,0.00839214785663,0.0567480421383,0.276149138597,0.280210673578
 01/06  15:00:00,0.667811751347,0.114440741685,0.0,0.00269700259025,0.0,4.67995942633e-05,4.67995942633e-05,4.67995942633e-05,0.0491697382757,0.00883384244632,0.0539269802759,0.291698638422,0.253605752333
 01/06  16:00:00,0.708945371509,0.216804761202,0.0,0.0773189101533,0.0,0.00134167228357,0.00134167228357,0.00134167228357,0.0614621804744,0.0110423044287,0.0564069519463,0.30791335749,0.260248904885
 01/06  17:00:00,0.865222947305,0.48058677532,0.0,0.263268673099,0.0,0.00456835567301,0.00456835567301,0.00456835567301,0.103256447327,0.018551068589,0.065849142667,0.364207536,0.29826039705
 01/06  18:00:00,1.16380169285,1.54190398151,0.0,1.1979089131,0.0,0.0207866508176,0.0207866508176,0.0207866508176,0.191761982327,0.034451986089,0.0828891267443,0.442453949556,0.380927997315
 01/06  19:00:00,1.39914355083,0.743744450439,0.0,0.466653409494,0.0,0.00809757851359,0.00809757851359,0.00809757851359,0.285184488103,0.0512362872853,0.0834922952089,0.480371446455,0.450231455266
 01/06  20:00:00,1.40209979345,0.549994308391,0.0,0.390192353765,0.0,0.00677079210338,0.00677079210338,0.00677079210338,0.302393901077,0.054328132964,0.0747921860178,0.495837793874,0.457446987413
 01/06  21:00:00,1.32191811443,0.676428334355,0.0,0.567226246828,0.0,0.00984276333401,0.00984276333401,0.00984276333401,0.260599634224,0.0468193688037,0.0653297857535,0.512884036997,0.415912525322
 01/06  22:00:00,1.21007103296,1.00174236244,0.0,0.915556498132,0.0,0.0158871455269,0.0158871455269,0.0158871455269,0.218805336853,0.0393105991603,0.0584926622668,0.500910090608,0.366135198544
