Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.486208771726,2.78786608922,0.0,2.49107628328,0.0,0.0488026532777,0.0488026532777,0.0488026532777,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.436064605663,3.09350711502,0.0,2.86937083459,0.0,0.0562138184628,0.0562138184628,0.0562138184628,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.423803544164,3.33721918053,0.0,3.13726279348,0.0,0.0614620874433,0.0614620874433,0.0614620874433,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.423035050227,3.57470916247,0.0,3.36853783723,0.0,0.0659929947655,0.0659929947655,0.0659929947655,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.417130804846,3.8548288965,0.0,3.58424139361,0.0,0.0702188412172,0.0702188412172,0.0702188412172,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.450578245538,4.10692534379,0.0,3.56824287866,0.0,0.0699054144534,0.0699054144534,0.0699054144534,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.543054580845,4.58152095322,0.0,3.52809476665,0.0,0.0691188731487,0.0691188731487,0.0691188731487,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.661839593782,4.73255647352,0.0,3.52868927162,0.0,0.0691305200901,0.0691305200901,0.0691305200901,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.587025832448,4.44563684912,0.0,3.30118783786,0.0,0.0646735415276,0.0646735415276,0.0646735415276,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.474432345104,4.19763451359,0.0,3.17482055632,0.0,0.0621978812407,0.0621978812407,0.0621978812407,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.461112782629,3.87861047088,0.0,2.99291166561,0.0,0.058634105783,0.058634105783,0.058634105783,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.455239279475,3.52847240112,0.0,2.73416659121,0.0,0.0535650333351,0.0535650333351,0.0535650333351,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.442981982878,3.00780939725,0.0,2.27992599142,0.0,0.0446660097905,0.0446660097905,0.0446660097905,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.438274890823,2.31594499296,0.0,1.66042416361,0.0,0.0325293549999,0.0325293549999,0.0325293549999,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.448423526495,1.98616877659,0.0,1.37655812274,0.0,0.0269681379215,0.0269681379215,0.0269681379215,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.48370778852,2.09478936068,0.0,1.44710410526,0.0,0.0283502036368,0.0283502036368,0.0283502036368,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.60522109578,2.4291210764,0.0,1.63769191231,0.0,0.032084007667,0.032084007667,0.032084007667,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.828174768547,3.60480708255,0.0,2.55320808494,0.0,0.0500198768504,0.0500198768504,0.0500198768504,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,0.996195275048,2.83499358519,0.0,1.73013384426,0.0,0.0338950367325,0.0338950367325,0.0338950367325,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,0.989929927927,2.50100823497,0.0,1.4940686785,0.0,0.0292702861729,0.0292702861729,0.0292702861729,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.946068661582,2.38140332872,0.0,1.49034478545,0.0,0.0291973314172,0.0291973314172,0.0291973314172,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.881131134721,2.5602423637,0.0,1.77894766403,0.0,0.0348513478408,0.0348513478408,0.0348513478408,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.743010007061,2.67730640088,0.0,2.04599047074,0.0,0.0400829810885,0.0400829810885,0.0400829810885,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.615727993329,2.55258565872,0.0,2.08167965813,0.0,0.0407821676409,0.0407821676409,0.0407821676409,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.479410422547,2.44639807291,0.0,2.16082701811,0.0,0.0423327428652,0.0423327428652,0.0423327428652,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.424607642839,2.51341919354,0.0,2.29477333453,0.0,0.0449568839571,0.0449568839571,0.0449568839571,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.410181504746,2.64366321316,0.0,2.44803845701,0.0,0.0479594996065,0.0479594996065,0.0479594996065,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.406515441672,2.73183572712,0.0,2.53041403877,0.0,0.0495733188951,0.0495733188951,0.0495733188951,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.397554058679,2.85394072242,0.0,2.59318022839,0.0,0.0508029707568,0.0508029707568,0.0508029707568,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.429383039281,3.01030324077,0.0,2.50167701651,0.0,0.0490103321479,0.0490103321479,0.0490103321479,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.527192787448,3.73294336561,0.0,2.74909228511,0.0,0.0538574424714,0.0538574424714,0.0538574424714,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.63510763925,3.34564114925,0.0,2.22260011904,0.0,0.0435429391353,0.0435429391353,0.0435429391353,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.562078381379,3.18678466482,0.0,2.12240390881,0.0,0.0415799960732,0.0415799960732,0.0415799960732,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.450477188733,3.01414467131,0.0,2.06157187727,0.0,0.0403882362851,0.0403882362851,0.0403882362851,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/02  11:00:00,0.438003354472,2.74344465648,0.0,1.91627766125,0.0,0.0375417785932,0.0375417785932,0.0375417785932,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/02  12:00:00,0.433806027242,2.47693184756,0.0,1.73031499104,0.0,0.0338985855775,0.0338985855775,0.0338985855775,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/02  13:00:00,0.423061551522,2.03000810825,0.0,1.34307022549,0.0,0.0263120768249,0.0263120768249,0.0263120768249,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/02  14:00:00,0.419499301547,1.39933022104,0.0,0.778793031563,0.0,0.0152573273446,0.0152573273446,0.0152573273446,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/02  15:00:00,0.432247565145,1.19391599327,0.0,0.616401342542,0.0,0.0120759132114,0.0120759132114,0.0120759132114,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/02  16:00:00,0.468833031155,1.36438274821,0.0,0.749252863457,0.0,0.0146786061744,0.0146786061744,0.0146786061744,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/02  17:00:00,0.588081700549,1.57649412954,0.0,0.826802354611,0.0,0.0161978775648,0.0161978775648,0.0161978775648,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/02  18:00:00,0.80234671011,2.3036904902,0.0,1.30425783251,0.0,0.0255517035796,0.0255517035796,0.0255517035796,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/02  19:00:00,0.976566727672,1.85483541856,0.0,0.819637579322,0.0,0.016057512516,0.016057512516,0.016057512516,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/02  20:00:00,0.97180135533,1.6023752113,0.0,0.674138158035,0.0,0.0132070346495,0.0132070346495,0.0132070346495,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/02  21:00:00,0.927419229819,1.44792546282,0.0,0.631824871235,0.0,0.0123780754247,0.0123780754247,0.0123780754247,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/02  22:00:00,0.857969102144,1.39378857867,0.0,0.67453053021,0.0,0.0132147216093,0.0132147216093,0.0132147216093,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/02  23:00:00,0.717008881012,1.35268447298,0.0,0.771215358993,0.0,0.0151088732288,0.0151088732288,0.0151088732288,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/02  24:00:00,0.592030260959,1.34347119529,0.0,0.904044056478,0.0,0.0177111190581,0.0177111190581,0.0177111190581,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/03  01:00:00,0.457687075382,1.33779867004,0.0,1.05198331227,0.0,0.0206093957007,0.0206093957007,0.0206093957007,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/03  02:00:00,0.402682737698,1.39440351473,0.0,1.17564132957,0.0,0.0230319788161,0.0230319788161,0.0230319788161,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/03  03:00:00,0.387968681301,1.50992029272,0.0,1.31420998764,0.0,0.0257466761621,0.0257466761621,0.0257466761621,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/03  04:00:00,0.384018955373,1.58362558008,0.0,1.38210631956,0.0,0.0270768325961,0.0270768325961,0.0270768325961,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/03  05:00:00,0.375379983907,1.72229135444,0.0,1.46132964124,0.0,0.0286288959854,0.0286288959854,0.0286288959854,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/03  06:00:00,0.408309788973,1.93530930341,0.0,1.42601677002,0.0,0.0279370818399,0.0279370818399,0.0279370818399,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/03  07:00:00,0.498609915959,2.27549375584,0.0,1.29011191229,0.0,0.0252745709826,0.0252745709826,0.0252745709826,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/03  08:00:00,0.6205368676,2.60362343577,0.0,1.47885154702,0.0,0.0289721674856,0.0289721674856,0.0289721674856,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/03  09:00:00,0.542336426788,2.18068851073,0.0,1.11469814766,0.0,0.0218380414822,0.0218380414822,0.0218380414822,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/03  10:00:00,0.432186663199,2.08191566295,0.0,1.12795267204,0.0,0.0220977107513,0.0220977107513,0.0220977107513,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/03  11:00:00,0.421491782014,1.90179876333,0.0,1.07346310534,0.0,0.0210302061353,0.0210302061353,0.0210302061353,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/03  12:00:00,0.417946003408,1.66835697219,0.0,0.920757998271,0.0,0.0180385617429,0.0180385617429,0.0180385617429,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/03  13:00:00,0.413281745135,1.53164594696,0.0,0.843871060899,0.0,0.0165322704377,0.0165322704377,0.0165322704377,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/03  14:00:00,0.420740247253,1.46341989027,0.0,0.842135702663,0.0,0.0164982730499,0.0164982730499,0.0164982730499,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/03  15:00:00,0.436690819382,1.42138641288,0.0,0.8432022336,0.0,0.016519167448,0.016519167448,0.016519167448,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/03  16:00:00,0.469981898425,1.4237137086,0.0,0.807895494888,0.0,0.0158274734444,0.0158274734444,0.0158274734444,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/03  17:00:00,0.586730971094,1.50834678984,0.0,0.757855896059,0.0,0.0148471481094,0.0148471481094,0.0148471481094,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/03  18:00:00,0.795157979426,1.93778674562,0.0,0.93731719893,0.0,0.0183629728955,0.0183629728955,0.0183629728955,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/03  19:00:00,0.970965139294,1.5701393428,0.0,0.53371083112,0.0,0.0104559241387,0.0104559241387,0.0104559241387,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/03  20:00:00,0.96729651068,1.37367710763,0.0,0.444193453888,0.0,0.00870218999867,0.00870218999867,0.00870218999867,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/03  21:00:00,0.924008890852,1.27497858448,0.0,0.457747972796,0.0,0.00896773645787,0.00896773645787,0.00896773645787,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/03  22:00:00,0.854632694596,1.22447514831,0.0,0.504227377494,0.0,0.00987831406131,0.00987831406131,0.00987831406131,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/03  23:00:00,0.715651171456,1.28414999443,0.0,0.701912609136,0.0,0.0137511636736,0.0137511636736,0.0137511636736,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/03  24:00:00,0.592314915012,1.35851923394,0.0,0.918573900907,0.0,0.0179957731109,0.0179957731109,0.0179957731109,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/04  01:00:00,0.458453554869,1.37716256427,0.0,1.09110739142,0.0,0.0213758751868,0.0213758751868,0.0213758751868,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/04  02:00:00,0.403145011638,1.41811393418,0.0,1.19923758039,0.0,0.0234942527557,0.0234942527557,0.0234942527557,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/04  03:00:00,0.388417864653,1.53293242921,0.0,1.3371380442,0.0,0.0261958595139,0.0261958595139,0.0261958595139,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/04  04:00:00,0.384351961485,1.6007195618,0.0,1.3991042402,0.0,0.0274098387078,0.0274098387078,0.0274098387078,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/04  05:00:00,0.375822221187,1.74506258124,0.0,1.48390314338,0.0,0.0290711332648,0.0290711332648,0.0290711332648,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/04  06:00:00,0.409606957482,2.0021756387,0.0,1.49222927058,0.0,0.0292342503486,0.0292342503486,0.0292342503486,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/04  07:00:00,0.500272294659,2.36185020249,0.0,1.37496615432,0.0,0.0269369496824,0.0269369496824,0.0269369496824,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/04  08:00:00,0.624169355645,2.79073825564,0.0,1.66426779409,0.0,0.0326046555304,0.0326046555304,0.0326046555304,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/04  09:00:00,0.546720086008,2.40602702485,0.0,1.33845707848,0.0,0.0262217007029,0.0262217007029,0.0262217007029,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/04  10:00:00,0.43504470351,2.22916540744,0.0,1.27383810974,0.0,0.0249557510618,0.0249557510618,0.0249557510618,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/04  11:00:00,0.423796476849,2.02058623104,0.0,1.19110364856,0.0,0.0233349009697,0.0233349009697,0.0233349009697,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/04  12:00:00,0.421913180926,1.87182080726,0.0,1.12325809127,0.0,0.0220057392612,0.0220057392612,0.0220057392612,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/04  13:00:00,0.418608619225,1.80437155751,0.0,1.11577532879,0.0,0.0218591445281,0.0218591445281,0.0218591445281,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/04  14:00:00,0.424668796367,1.66468128622,0.0,1.04266405245,0.0,0.0204268221645,0.0204268221645,0.0204268221645,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/04  15:00:00,0.439923403425,1.58704703667,0.0,1.00820583285,0.0,0.0197517514912,0.0197517514912,0.0197517514912,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/04  16:00:00,0.47336522106,1.5970870786,0.0,0.980593375225,0.0,0.0192107960799,0.0192107960799,0.0192107960799,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/04  17:00:00,0.589307162932,1.64062980378,0.0,0.889354696987,0.0,0.0174233399472,0.0174233399472,0.0174233399472,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/04  18:00:00,0.797028019015,2.03425835113,0.0,1.03277125638,0.0,0.0202330124849,0.0202330124849,0.0202330124849,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/04  19:00:00,0.974580891561,1.75590921127,0.0,0.718272819317,0.0,0.0140716764056,0.0140716764056,0.0140716764056,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/04  20:00:00,0.972120172814,1.62111895951,0.0,0.69041183619,0.0,0.0135258521333,0.0135258521333,0.0135258521333,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/04  21:00:00,0.930091661332,1.58657572173,0.0,0.768236117626,0.0,0.0150505069377,0.0150505069377,0.0150505069377,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/04  22:00:00,0.861066163164,1.5538355348,0.0,0.832616509921,0.0,0.0163117826297,0.0163117826297,0.0163117826297,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/04  23:00:00,0.721372712664,1.57695354012,0.0,0.993962214012,0.0,0.0194727048814,0.0194727048814,0.0194727048814,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/04  24:00:00,0.600772260298,1.79072339462,0.0,1.35026953316,0.0,0.0264531183973,0.0264531183973,0.0264531183973,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/05  01:00:00,0.470199259718,1.97694405029,0.0,1.69065362128,0.0,0.0331215800358,0.0331215800358,0.0331215800358,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/05  02:00:00,0.415504991054,2.04912709244,0.0,1.83013876134,0.0,0.0358542321723,0.0358542321723,0.0358542321723,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/05  03:00:00,0.400443576093,2.14685368135,0.0,1.95097689408,0.0,0.0382215709544,0.0382215709544,0.0382215709544,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/05  04:00:00,0.39697876059,2.24533431184,0.0,2.04362493064,0.0,0.0400366378135,0.0400366378135,0.0400366378135,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/05  05:00:00,0.389217042216,2.42898004428,0.0,2.16762664496,0.0,0.0424659542943,0.0424659542943,0.0424659542943,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/05  06:00:00,0.424172598569,2.74630396385,0.0,2.23571595885,0.0,0.0437998914362,0.0437998914362,0.0437998914362,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/05  07:00:00,0.52961030966,3.8608493077,0.0,2.87249197431,0.0,0.0562749646834,0.0562749646834,0.0562749646834,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/05  08:00:00,0.641568748033,3.68053656662,0.0,2.55240011498,0.0,0.0500040479183,0.0500040479183,0.0500040479183,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/05  09:00:00,0.561923674515,3.1836262191,0.0,2.11450707181,0.0,0.0414252892098,0.0414252892098,0.0414252892098,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/05  10:00:00,0.445298290108,2.75388609947,0.0,1.79722084979,0.0,0.0352093376604,0.0352093376604,0.0352093376604,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/05  11:00:00,0.435055748345,2.59642776309,0.0,1.76582043767,0.0,0.0345941724661,0.0345941724661,0.0345941724661,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/05  12:00:00,0.428374929923,2.20259868982,0.0,1.45309076621,0.0,0.0284674882581,0.0284674882581,0.0284674882581,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/05  13:00:00,0.420968180439,1.92561828915,0.0,1.23621646435,0.0,0.024218705742,0.024218705742,0.024218705742,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/05  14:00:00,0.42653933511,1.76087974239,0.0,1.13814358863,0.0,0.0222973609073,0.0222973609073,0.0222973609073,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/05  15:00:00,0.4441776746,1.80484584258,0.0,1.22536029711,0.0,0.0240060226663,0.0240060226663,0.0240060226663,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/05  16:00:00,0.484264365798,2.15408405462,0.0,1.53692790093,0.0,0.0301099408177,0.0301099408177,0.0301099408177,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/05  17:00:00,0.609096830761,2.65154010817,0.0,1.89949592645,0.0,0.0372130077761,0.0372130077761,0.0372130077761,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/05  18:00:00,0.840192241639,4.23852532534,0.0,3.23604021908,0.0,0.0633972351084,0.0633972351084,0.0633972351084,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/05  19:00:00,1.0057602543,3.34860904482,0.0,2.30978815346,0.0,0.045251039141,0.045251039141,0.045251039141,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/05  20:00:00,1.00130556093,3.11205391173,0.0,2.1801469893,0.0,0.0427112402488,0.0427112402488,0.0427112402488,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/05  21:00:00,0.960637994181,3.14686635199,0.0,2.32743915662,0.0,0.0455968397867,0.0455968397867,0.0455968397867,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/05  22:00:00,0.894149029429,3.24346573112,0.0,2.52129403051,0.0,0.0493946488944,0.0493946488944,0.0493946488944,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/05  23:00:00,0.756738550969,3.3829024241,0.0,2.79917146232,0.0,0.054838543186,0.054838543186,0.054838543186,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/05  24:00:00,0.633878414412,3.48108841869,0.0,3.0401357557,0.0,0.0595592725114,0.0595592725114,0.0595592725114,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/06  01:00:00,0.50282420656,3.64247822086,0.0,3.35595716249,0.0,0.0657465268787,0.0657465268787,0.0657465268787,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/06  02:00:00,0.449363681198,3.77751541906,0.0,3.55841733507,0.0,0.0697129223163,0.0697129223163,0.0697129223163,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/06  03:00:00,0.434862681927,3.90381880208,0.0,3.70786125334,0.0,0.0726406767882,0.0726406767882,0.0726406767882,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/06  04:00:00,0.431586821583,4.0119558579,0.0,3.81015429242,0.0,0.0746446988057,0.0746446988057,0.0746446988057,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/06  05:00:00,0.426365203608,4.32535570178,0.0,4.06381256102,0.0,0.0796141156865,0.0796141156865,0.0796141156865,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/06  06:00:00,0.459133688453,4.53148145723,0.0,4.02026528141,0.0,0.0787609813194,0.0787609813194,0.0787609813194,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/06  07:00:00,0.56740422141,5.79144053363,0.0,4.80163948763,0.0,0.0940688764338,0.0940688764338,0.0940688764338,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/06  08:00:00,0.670548358309,5.16140114314,0.0,4.03163157082,0.0,0.078983658194,0.078983658194,0.078983658194,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/06  09:00:00,0.58480899911,4.35329994341,0.0,3.28266260238,0.0,0.0643106138045,0.0643106138045,0.0643106138045,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/06  10:00:00,0.4618502849,3.6000752421,0.0,2.64209871808,0.0,0.0517613324526,0.0517613324526,0.0517613324526,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/06  11:00:00,0.443134007174,3.00987571209,0.0,2.17816603015,0.0,0.0426724312956,0.0426724312956,0.0426724312956,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/06  12:00:00,0.433744121478,2.47758934089,0.0,1.72715508128,0.0,0.0338366798134,0.0338366798134,0.0338366798134,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/06  13:00:00,0.42563382806,2.16456038,0.0,1.47436917435,0.0,0.0288843533624,0.0288843533624,0.0288843533624,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/06  14:00:00,0.431115318326,1.99516015063,0.0,1.37171948046,0.0,0.0268733441237,0.0268733441237,0.0268733441237,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/06  15:00:00,0.445963842565,1.89665023573,0.0,1.31653322225,0.0,0.0257921906308,0.0257921906308,0.0257921906308,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/06  16:00:00,0.483078560316,2.09420516871,0.0,1.47639980021,0.0,0.0289241353356,0.0289241353356,0.0289241353356,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
 01/06  17:00:00,0.606410701197,2.51518336938,0.0,1.76238547857,0.0,0.034526878213,0.034526878213,0.034526878213,0.107218871603,0.0196111335143,0.065849142667,0.3684586752
 01/06  18:00:00,0.830923529265,3.7663922393,0.0,2.76292927077,0.0,0.0541285227342,0.0541285227342,0.0541285227342,0.199120802294,0.0364206732143,0.0828891267443,0.447618404278
 01/06  19:00:00,0.99836569068,2.97232266119,0.0,1.93234101047,0.0,0.0378564755246,0.0378564755246,0.0378564755246,0.296128358828,0.0541640755869,0.0834922952089,0.485978485532
 01/06  20:00:00,0.99336668241,2.70799864839,0.0,1.77491590724,0.0,0.0347723617295,0.0347723617295,0.0347723617295,0.313998176044,0.0574325978393,0.0747921860178,0.50162536078
 01/06  21:00:00,0.952107952449,2.71252585546,0.0,1.89203281647,0.0,0.0370667980551,0.0370667980551,0.0370667980551,0.270600039466,0.0494947564274,0.0653297857535,0.518870572747
 01/06  22:00:00,0.881340955805,2.59062541469,0.0,1.86752038716,0.0,0.0365865752708,0.0365865752708,0.0365865752708,0.227201934578,0.0415569208119,0.0584926622668,0.506756862878
 01/06  23:00:00,0.741047554009,2.58269757957,0.0,1.99824225535,0.0,0.0391475462262,0.0391475462262,0.0391475462262,0.171039670009,0.0312844256166,0.0502967902808,0.438533121876
 01/06  24:00:00,0.619574055664,2.75142724959,0.0,2.30998592917,0.0,0.0452549137633,0.0452549137633,0.0452549137633,0.117430218362,0.0214788588595,0.0435869416981,0.381077122981
 01/07  01:00:00,0.489182419274,2.94109331749,0.0,2.64286276178,0.0,0.051776300826,0.051776300826,0.051776300826,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
